epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2826.1,1.5036,0.83759,0.81243,0.82752,0.71745,0.78263,0.45265,1.31784,0.71382,0.7998,0.00999855,0.00333285,0.00999855,0.00333285,0.00999855,0.00333285,0.00999855,0.00333285
2,6006.67,1.51824,0.83491,0.80973,0.8356,0.74396,0.80636,0.47143,1.28215,0.68093,0.79511,0.0196026,0.00653419,0.0196026,0.00653419,0.0196026,0.00653419,0.0196026,0.00653419
3,9335.8,1.53562,0.84928,0.80991,0.83908,0.73839,0.80797,0.47712,1.28267,0.6978,0.79573,0.0288106,0.00960354,0.0288106,0.00960354,0.0288106,0.00960354,0.0288106,0.00960354
4,12856.7,1.52056,0.84026,0.80759,0.85357,0.67095,0.77079,0.45134,1.38543,0.95003,0.80455,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,16504.9,1.48524,0.81363,0.80457,0.84865,0.69881,0.78775,0.46398,1.35829,0.87583,0.79984,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,20256.8,1.48022,0.80344,0.80235,0.84578,0.73658,0.81116,0.48194,1.2984,0.74773,0.79335,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,23988.2,1.46509,0.7921,0.8008,0.84382,0.75687,0.82355,0.49036,1.26531,0.68358,0.78979,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,27695.2,1.46342,0.78884,0.79952,0.84392,0.76668,0.82989,0.49514,1.24706,0.65791,0.78788,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,31368.9,1.45894,0.78394,0.79942,0.84425,0.77184,0.83355,0.49826,1.23785,0.64621,0.78672,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,35094.8,1.45153,0.77626,0.79881,0.84407,0.77615,0.83594,0.50043,1.23285,0.6397,0.78601,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,38786.9,1.44428,0.77469,0.79867,0.84364,0.77998,0.83863,0.50307,1.22867,0.63565,0.78558,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,42458.7,1.44385,0.7704,0.79886,0.84433,0.78269,0.84083,0.50482,1.22411,0.63245,0.78516,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,46164.7,1.44074,0.76848,0.79678,0.84348,0.78562,0.84246,0.50608,1.22097,0.62925,0.78484,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,49851.2,1.43884,0.76731,0.79694,0.84506,0.78667,0.84404,0.50767,1.21868,0.62708,0.78452,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,53564.1,1.43337,0.76147,0.79561,0.84539,0.78789,0.84534,0.50898,1.2168,0.62479,0.78425,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,57225.6,1.42479,0.75617,0.79666,0.84541,0.78893,0.84642,0.51062,1.21422,0.62248,0.78397,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,60844.7,1.42586,0.7558,0.79559,0.84474,0.79175,0.84723,0.51162,1.21244,0.62056,0.78368,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,64481,1.42272,0.75217,0.79586,0.84601,0.79262,0.84822,0.51295,1.21057,0.61833,0.78359,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,68163.9,1.41905,0.74958,0.7944,0.84451,0.79524,0.84945,0.51418,1.20828,0.61637,0.78337,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,71884.7,1.41261,0.7465,0.79479,0.84653,0.79517,0.85058,0.51562,1.20574,0.614,0.78314,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,75561.3,1.4134,0.74334,0.79347,0.84607,0.79746,0.85158,0.51677,1.20356,0.61203,0.78293,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,79340,1.4089,0.74209,0.79465,0.84571,0.79928,0.85255,0.51766,1.20152,0.61039,0.78264,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,83133.1,1.40535,0.73666,0.7943,0.84744,0.7992,0.85382,0.51896,1.19988,0.60868,0.78249,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,86931.7,1.40396,0.73715,0.79271,0.84798,0.79993,0.85471,0.52028,1.1981,0.60723,0.78231,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,90703.5,1.39762,0.73152,0.79245,0.84884,0.80092,0.85555,0.52132,1.19624,0.60481,0.78218,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,94498.1,1.39166,0.72625,0.79241,0.84939,0.80181,0.85633,0.52269,1.19427,0.60335,0.78201,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,98279.1,1.39173,0.72555,0.79247,0.85014,0.80185,0.85709,0.52394,1.19222,0.60203,0.78191,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,102110,1.38411,0.7211,0.79223,0.85205,0.80167,0.85826,0.52499,1.19011,0.60043,0.78161,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,105972,1.38367,0.71784,0.79128,0.8502,0.80421,0.85884,0.52589,1.18889,0.59924,0.78138,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,109765,1.37722,0.71366,0.79039,0.85058,0.80513,0.85963,0.52721,1.18689,0.59794,0.78117,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,113701,1.37457,0.71172,0.79022,0.85104,0.80594,0.86069,0.52828,1.18494,0.59608,0.78103,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,117556,1.3729,0.71068,0.79031,0.85154,0.80744,0.86147,0.52891,1.18351,0.59434,0.78086,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,121364,1.37011,0.70703,0.79017,0.85194,0.80831,0.86223,0.53036,1.18226,0.59321,0.78069,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,125152,1.35749,0.69861,0.78935,0.85365,0.8078,0.8632,0.53174,1.18018,0.59122,0.78052,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,128961,1.35907,0.6975,0.78907,0.8542,0.80841,0.86414,0.53282,1.17859,0.58973,0.78034,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,132788,1.35677,0.69546,0.78777,0.85631,0.80828,0.86486,0.5341,1.1767,0.58832,0.78019,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,136614,1.35242,0.69168,0.78816,0.85652,0.80903,0.86562,0.535,1.17484,0.58636,0.78007,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,140472,1.34489,0.68455,0.78744,0.85674,0.81009,0.86646,0.5359,1.17334,0.5851,0.77995,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,144317,1.33773,0.68012,0.78688,0.8573,0.81049,0.86734,0.53736,1.17168,0.58334,0.77972,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,148129,1.3341,0.67526,0.78623,0.85704,0.81163,0.86819,0.53855,1.16979,0.58156,0.77953,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,151860,1.29403,0.65428,0.7971,0.85686,0.81229,0.86839,0.53878,1.16963,0.58112,0.77951,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
